data_code,data_item,asgs,sa4_code,sa4_name,year,value,state
CENSUS_15,Buddhism (%),SA4,115,Sydney - Baulkham Hills and Hawkesbury,2016,2.7,New South Wales
CENSUS_15,Buddhism (%),SA4,309,Gold Coast,2016,1.6,Queensland
CENSUS_7,Born in North Africa and the Middle East (%),SA4,507,Perth - South West,2011,0.6,Western Australia
CENSUS_7,Born in North Africa and the Middle East (%),SA4,507,Perth - South West,2016,0.7,Western Australia
CENSUS_29,Australian citizen (%),SA4,506,Perth - South East,2011,77.2,Western Australia
CENSUS_29,Australian citizen (%),SA4,506,Perth - South East,2016,74.8,Western Australia
CENSUS_29,Australian citizen (%),SA4,504,Perth - North East,2011,82.6,Western Australia
CENSUS_29,Australian citizen (%),SA4,504,Perth - North East,2016,80,Western Australia
CENSUS_10,Born in Southern and Central Asia (%),SA4,208,Melbourne - Inner South,2011,3.4,Victoria
CENSUS_10,Born in Southern and Central Asia (%),SA4,208,Melbourne - Inner South,2016,3.7,Victoria
CENSUS_11,Born in Americas (%),SA4,505,Perth - North West,2011,1.1,Western Australia
CENSUS_11,Born in Americas (%),SA4,505,Perth - North West,2016,1.3,Western Australia
CENSUS_9,Born in North-East Asia (%),SA4,302,Brisbane - North,2011,1.5,Queensland
CENSUS_9,Born in North-East Asia (%),SA4,302,Brisbane - North,2016,1.9,Queensland
CENSUS_6,Born in Southern and Eastern Europe (%),SA4,407,South Australia - South East,2011,1.2,South Australia
CENSUS_6,Born in Southern and Eastern Europe (%),SA4,407,South Australia - South East,2016,1.1,South Australia
CENSUS_16,Christianity (%),SA4,307,Darling Downs - Maranoa,2016,69.3,Queensland
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,128,Sydney - Sutherland,2011,1.9,New South Wales
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,128,Sydney - Sutherland,2016,1.8,New South Wales
CENSUS_7,Born in North Africa and the Middle East (%),SA4,113,Riverina,2011,0.4,New South Wales
CENSUS_7,Born in North Africa and the Middle East (%),SA4,113,Riverina,2016,0.4,New South Wales
