sa3_name,year,sa3_income_percentile
Adelaide City,2011,65
Adelaide City,2012,62
Adelaide City,2013,63
Adelaide City,2014,66
Adelaide City,2015,63
Adelaide City,2016,66
Adelaide Hills,2011,55
Adelaide Hills,2012,54
Adelaide Hills,2013,55
Adelaide Hills,2014,54
Adelaide Hills,2015,55
Adelaide Hills,2016,53
Albany,2011,9
Albany,2012,11
Albany,2013,14
Albany,2014,15
Albany,2015,14
Albany,2016,14
Albury,2011,22
Albury,2012,19
Albury,2013,16
Albury,2014,17
Albury,2015,17
Albury,2016,16
Alice Springs,2011,49
Alice Springs,2012,46
Alice Springs,2013,47
Alice Springs,2014,47
Alice Springs,2015,49
Alice Springs,2016,63
Armadale,2011,58
Armadale,2012,62
Armadale,2013,67
Armadale,2014,67
Armadale,2015,67
Armadale,2016,65
Armidale,2011,8
Armidale,2012,7
Armidale,2013,8
Armidale,2014,8
Armidale,2015,9
Armidale,2016,9
Auburn,2011,17
Auburn,2012,17
Auburn,2013,15
Auburn,2014,12
Auburn,2015,12
Auburn,2016,12
Augusta - Margaret River - Busselton,2011,22
Augusta - Margaret River - Busselton,2012,31
Augusta - Margaret River - Busselton,2013,40
Augusta - Margaret River - Busselton,2014,41
Augusta - Margaret River - Busselton,2015,42
Augusta - Margaret River - Busselton,2016,34
Bald Hills - Everton Park,2011,74
Bald Hills - Everton Park,2012,75
Bald Hills - Everton Park,2013,74
Bald Hills - Everton Park,2014,74
Bald Hills - Everton Park,2015,73
Bald Hills - Everton Park,2016,74
Ballarat,2011,25
Ballarat,2012,21
Ballarat,2013,19
Ballarat,2014,20
Ballarat,2015,23
Ballarat,2016,24
Bankstown,2011,35
Bankstown,2012,33
Bankstown,2013,31
Bankstown,2014,30
Bankstown,2015,29
Bankstown,2016,29
Banyule,2011,69
Banyule,2012,66
Banyule,2013,65
Banyule,2014,65
Banyule,2015,67
Banyule,2016,69
Barkly,2011,34
Barkly,2012,34
Barkly,2013,33
Barkly,2014,37
Barkly,2015,30
Barkly,2016,38
Barossa,2011,23
Barossa,2012,25
Barossa,2013,23
Barossa,2014,25
Barossa,2015,23
Barossa,2016,19
Barwon - West,2011,35
Barwon - West,2012,39
Barwon - West,2013,33
Barwon - West,2014,33
Barwon - West,2015,33
Barwon - West,2016,33
Bathurst,2011,42
Bathurst,2012,43
Bathurst,2013,40
Bathurst,2014,37
Bathurst,2015,39
Bathurst,2016,39
Baulkham Hills,2011,92
Baulkham Hills,2012,90
Baulkham Hills,2013,90
Baulkham Hills,2014,90
Baulkham Hills,2015,88
Baulkham Hills,2016,89
Baw Baw,2011,27
Baw Baw,2012,26
Baw Baw,2013,24
Baw Baw,2014,24
Baw Baw,2015,27
Baw Baw,2016,27
Bayside,2011,97
Bayside,2012,97
Bayside,2013,97
Bayside,2014,97
Bayside,2015,97
Bayside,2016,97
Bayswater - Bassendean,2011,66
Bayswater - Bassendean,2012,71
Bayswater - Bassendean,2013,73
Bayswater - Bassendean,2014,72
Bayswater - Bassendean,2015,72
Bayswater - Bassendean,2016,70
